V1,MID,ip.location,not.mturk.duplicate
R_a5keS2stEyN0Zx3,A2NZYQORZFRM4R,USA,1
R_0AmYKLDzyY4PMXj,A2O200JODCD036,India,1
R_01ak42N7Lmmbo5D,A2O76FE5NQWOC8,USA,1
R_bIQgQUyr8gLlbhP,A2OE9Y9BO25AP1,Europe,1
R_e3Q6cTfIW0AgD5P,A2P6VK1US8OTC5,USA,1
R_6seQUypDd1TPezr,A2P9WEY7VI3PBM,USA,1
R_3IwuKInyPCVWp4F,A2PXJTMWGUE5DC,USA,1
R_9z4na9pSCGQlTaB,A2Q6L9LKSNU7EB,USA,1
R_5vCV5oFGh2FUQQd,A2QCA9HFLJOJYY,USA,1
R_8CB9i0VeZyWQ3pH,A2QCDKTLMY4P48,USA,1
R_3Oj3QTzAHJ84QAZ,A2QUP5KP7VXYO1,India,1
R_2iejOl3YO8g4sXH,A2QVMCGDLTWV9,USA,1
R_brzLq2qB5ASiIzb,A2R085B34P2LYS,USA,1
R_3wI2pS6IOsAkOAB,A2R2YZTSME1K3F,USA,1
R_6FLD1MAfV7G1i29,A2R40R4O6G0YBY,USA,1
R_4Yj9S9o2HF4v65f,A2R794P3E8X0MK,USA,1
R_0uBLel3wLyGmqe9,A2RFAD589KQRX5,USA,1
R_ewzt8eX3SxeXNeR,A2RMJNF6IPI42F,USA,1
R_eheulW75Hja4PcN,A2S6QOCFC3EAYH,USA,1
R_3pUMYYkMEm0OP3f,A2SENAPNSXG9L,USA,1
R_es6Owzxl4KHDWSh,A2SVQGQWXAJ4YA,USA,1
R_9Nz4RJ78vZDuVEh,A2SYRFPPV9WDEG,USA,1
R_39vfrn2RLXBxgMZ,A2TE84RMBCJ1B1,India,1
R_8B89aoAROJCXSmN,A2TG7EEQ2XG2IK,USA,1
R_7PP0Yi5AYBmhI1v,A2TJE6FPP2BI5L,USA,1
R_3EpCFaitnF1jA4B,A2TVU49CZCDFIW,USA,1
R_bI3r81r6mWvQom1,A2TZJKKUN0LSHY,USA,1
R_dpwCbfUT6d9zhxH,A2U0PGDD0O1GBR,USA,1
R_1LDKdu0824S5pzL,A2U71Q51BUUWBR,USA,1
R_5nWEYUzoFKcScTP,A2UFZ49YJO16T1,USA,1
R_1LeKnZ5utuYr7nL,A2UIGDOLX5RV95,USA,1
R_8IiRbDU7dWj2G8d,A2URTGY72HXIGG,USA,1
R_6EeoemMiqroa2sB,A2V1EIYBBN35SK,USA,1
R_4UEimBykOHcbuCh,A2V2I8HXL9EHQ1,USA,1
R_55aVMOsqZma1jVj,A2VN3OJKI3R6HE,USA,1
R_4TNNYxW2n2PekzX,A2VQJSO7IJRJGC,USA,1
R_3CLiGKpSqfMiHTT,A2VVZOE95CC3JX,USA,1
R_bE4edkcRi94sLOJ,A2WGW5Y3ZFBDEC,USA,1
R_3L61OggeVz63LP7,A2XM6C78S9L8UG,USA,1
R_eViqwBhE6k0lhrv,A2XSMRFVJK1319,USA,1
R_9X11jw1KRNfhDBH,A2XT3T0L580OMN,USA,1
R_0225cjb4Z8stCHH,A2YAB9OITN0ZTU,USA,1
R_9KUelLFlRvlq3Ax,A2YDQZ0IYWEJV0,USA,1
R_5pSC9pPwJTQRsMZ,A2YMCAN6AN9NWF,USA,1
R_8pQW9K8hSE0hDG5,A2YPWT2UKHWRN0,USA,1
R_exPGRH2w3UZ5SsZ,A2YTO4EY3MNYAJ,USA,1
R_1Y77lruvMMR2yNv,A2YW509B0UMSEH,India,1
R_8CCT8aUAXEtVy3X,A2YYQJ3JWA2KGD,USA,1
R_839EvvTqpqcy1Y9,A2Z11BHUBDVKMB,USA,1
R_6V7oS1p24cW8ZCZ,A2ZCBRNGXT1SY1,USA,1
R_8iTcaKsUj9DvvI9,A2ZIA7I1WINJ2A,USA,1
R_1M8ueitcK2LDLvf,A2ZSDMCQ5P0BJJ,USA,1
R_9H66rOEdKhysAYd,A3056EIAMR68GJ,USA,1
R_3kLXhuEQa52SWJD,A3066746SS2O8Z,USA,1
R_cTvgKahDIjxSKcB,A313BVKYTLV6Q0,USA,1
R_8G6S7ItLefhsmzz,A3146VH19IK07A,USA,1
R_9ts64CCl5fG1kDb,A31AHIM1MO6SZ1,USA,1
R_cVj4dZwmuPVzLkp,A31LJ9EUCB7DUK,USA,1
R_5tKK6TjBTD7OLyd,A31O5XYX80XD21,USA,1
R_9FXUy63PQG0H19H,A31XNLA9REVGXL,USA,1
R_0GHfh9VISC5idvf,A325FINFEL3NH8,India,1
