"","a","mTurkCode","V8","V9","V10","X6","Cognitive load","Had read","Q1","Q2_1","Q3","Q4_1","Q6","Q7_1","Q8","Q9_1","Q11_1","Q14_1","Q13","end.num","eff.split","badness","importance","count.eff","count.hard"
"1","ResponseID","mTurkCode","StartDate","EndDate","Finished","Exclude","Cognitive load","Had read","Please read the directions carefully. /  /    /  /  In this short study, you will be asked to complete two t...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /   /   /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the directions carefully. /   /   /  /   In this short study, you will be asked to complete two...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /    /  /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the following scenario carefully. /  /   /  Imagine that you are in a large lecture with a few...-&nbsp;","Please read the following scenario carefully.  /    /  /  Imagine that you are in a large lecture with a f...-&nbsp;","Thank you for participating in this study. ξ If you have any comments about it, please enter them...",NA,NA,NA,NA,NA,NA
"109","R_ZI8hX8YXHM1cxAB","4230172","4/5/17 14:56","4/5/17 14:57","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"110","R_3L74RSnFAh7RoqF","4234730","4/5/17 14:55","4/5/17 14:57","1",NA,"1","0",NA,NA,NA,NA,"1","1","3","1",NA,NA,NA,3,1,NA,NA,NA,NA
"111","R_8vIKygfge9hCB21","4236103","4/5/17 15:28","4/5/17 15:42","1",NA,"1","0",NA,NA,NA,NA,"1","1","531","4",NA,NA,NA,531,4,NA,NA,NA,NA
"112","R_1DFQ1vAn7hJSZAh","4239413","4/5/17 15:27","4/5/17 15:42","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","nope",NA,NA,NA,NA,NA,NA
"113","R_vN2ceJYYRhi71Kx","4232123","4/5/17 15:27","4/5/17 15:43","1",NA,"1","0",NA,NA,NA,NA,"1","3","561","1",NA,NA,NA,561,1,NA,NA,NA,NA
"114","R_2qEl2fyHJ5wC5tR","4238290","4/5/17 15:47","4/5/17 16:16","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"115","R_3hbaIv2cTgUm63n","4233180","4/5/17 15:48","4/5/17 16:17","1",NA,"1","0",NA,NA,NA,NA,"1","1","4","6",NA,NA,NA,4,6,NA,NA,NA,NA
"116","R_24FNCYbIKGGIy0u","4232325","4/5/17 15:47","4/5/17 16:18","1",NA,"1","0",NA,NA,NA,NA,"1","6","552","5",NA,NA,NA,552,5,NA,NA,NA,NA
"117","R_2zwfHdUrIlglOwA","4239095","4/5/17 16:25","4/5/17 16:25","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA
"118","R_1gtoJurM4NggpMS","4232234","4/5/17 16:28","4/5/17 16:28","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"119","R_1FqucPJ1D2RaiKl","4237512","4/5/17 16:25","4/5/17 16:29","1",NA,"1","0",NA,NA,NA,NA,"1","5","550","3",NA,NA,NA,550,3,NA,NA,NA,NA
